epsilon,delta,90%,95%,99%,99.50%,99.90%
0.05,0.01,91.97129019,103.3381313,128.1655701,138.1628156,172.2042781
0.05,0.02,2377.136294,2820.034241,4646.578776,4978.482274,7828.713724
0.06,0.01,66.42176999,73.69317151,89.10323713,99.76803232,128.9531513
0.06,0.02,350.1806931,421.7617303,601.4651375,733.6379758,958.355535
0.08,0.01,40.31563475,46.01466518,59.71149906,66.80125314,75.39072849
0.08,0.02,88.3686119,100.8148542,122.0581779,141.2885059,176.5891505
0.1,0.01,28.41515943,32.01456592,39.6233679,41.46992651,56.23576457
0.1,0.02,49.88712702,56.58762911,68.21443107,72.94883873,90.67380101
0.12,0.01,20.63383938,23.03196752,28.36553662,30.21614869,34.66561439
0.12,0.02,35.96492835,40.48147831,52.73403045,56.99224639,62.45607803
0.15,0.01,13.41695112,15.17220868,20.3351552,21.90554159,27.68968868
0.15,0.02,22.7445778,26.5263634,34.33155414,38.30717037,40.60077879
